sentence,nlp
 Is the MS-ISE program STEM certified?,GECSUGEGEChADGEGEMSISEGEGPAGEGEGEGEGEFSRGECSUGEGEFSRGEGEGEGEGEGECSUGEGEGE?
How can I apply to the MS-ISE program?,ChADGEwGEGEGEGEGEGEGEGEGPAGPAGECSUGEGEGEGEGEChADGEGEMSISEGEGPAGEGEGEGEGEFSR?
I am an international student. How do I apply?,GEGEGEFSRGEGEGEGEF1GECSUGEGEGEGEGEGE.GEChADGEwGEGEGEGEGEGEGEGPAGPAGECSU?
What additional documents are needed to apply?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGEGEGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGPAGPAGECSU?
 What is the minimum requirement for GRE?,wChADGEGEGEGECSUGEGEChADGEGEFSRGEGEGEFSRGEFSRGEGEGEqGEGEGEGEFSRGEGEGEGECSUGEGEGEGEGEGE?
What is the minimum requirement for IELTS?,wChADGEGEGEGECSUGEGEChADGEGEFSRGEGEGEFSRGEFSRGEGEGEqGEGEGEGEFSRGEGEGEGECSUGEGEGEGEGEGEGECSU?
What is the minimum TOEFL requirement?,wChADGEGEGEGECSUGEGEChADGEGEFSRGEGEGEFSRGEFSRGEGEGEGECSUGEGEGEGEqGEGEGEGEFSRGEGEGE?
Are recommendation letters required?,GEGEGEGEGEGEGEGEFSRFSRGEGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUGEGEGEqGEGEGEGEGE?
Where should I send documents?,wChADGEGEGEGECSUChADGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEFSRGEGEGECSU?
How can I get codes for classroom door locks?,ChADGEwGEGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUGECSUGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEGEGEGEGEGEGEGEkCSU?
How do I make a classroom change request?,ChADGEwGEGEGEGEGEGEFSRGEkGEGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEChADGEGEGEGEGEGEGEqGEGECSUGE?
Who do I contact about one-time classroom reservations?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEbGEGEGEGEGEGEGE-GEGEFSRGEGEGEGEGECSUCSUGEGEGEFSRGEGEGECSUGEGECSUGEGEGEGEGECSU?
Who do I contact about conference/event room reservations?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEbGEGEGEGEGEGEGECSUGEGEGEGEGEGE/GECSUGEGEGEGEGEGEGEFSRGEGEGECSUGEGECSUGEGEGEGEGECSU?
How do I reserve the Engineering Auditorium (ENG 189)?,ChADGEwGEGEGEGEGEGEGEGECSUGEGECSUGEGEGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGE(GEGEGEGE189)?
Who do I contact about classroom internet connection?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEbGEGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE?
How can I get support for classroom computers or overhead projectors?,ChADGEwGEGEGEGEGEGEGEGEGEGEGECSUGEGPAGPAGEGEGEGECSUGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEGEFSRGPAGEGEGEGECSUGEGEGEGEGECSUGEGEChADGEGEGEGEGPAGEGEjGEGEGEGEGECSU?
ow do I report a problem with Engineering room heating or air conditioning?,GEwGEGEGEGEGEGEGEGEGPAGEGEGEGEGEGEGPAGEGEbGEGEFSRGEwGEGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE?
"How do I report an immediate facilities problem (e.g., water leak, backed-up plumbing, electrical problem)?","ChADGEwGEGEGEGEGEGEGEGEGPAGEGEGEGEGEGEGEGEFSRFSRGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGECSUGEGPAGEGEbGEGEFSRGE(GE.GE.,GEwGEGEGEGEGEGEGEGEk,GEbGEGEkGEGE-GEGPAGEGPAGEGEFSRbGEGEGE,GEGEGEGEGEGEGEGEGEGEGEGEGPAGEGEbGEGEFSR)?"
